stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\sch_b\source\VS REPOS\myFirstProyect\Debug\allegro5.cfg r
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00000] Also searching C:\Users\sch_b\source\VS REPOS\myFirstProyect\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:763  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.6
dtor     D               dtor.c:196  _al_register_destructor          [   0.00074] added dtor for timer 01637020, func 7C4C195B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00110] added dtor for queue 01624DE0, func 7C4C16FE
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00153] Also searching C:\Users\sch_b\source\VS REPOS\myFirstProyect\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00216] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00246] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:763  load_library_at_path             [   0.01475] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.03232] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1778 d3d_create_display_locked        [   0.03358] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1779 d3d_create_display_locked        [   0.03377] al_display=0166AB70
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.03389] al_display->vt=01657268
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03818] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.03840] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03855] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03868] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03878] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03892] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03903] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03920] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03934] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03942] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03951] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03961] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03970] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03980] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03990] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03999] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04009] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04023] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04032] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04041] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04051] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04060] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04069] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04078] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04088] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04097] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04106] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04115] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04125] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04134] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04144] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04152] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.04161] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.04170] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04179] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04188] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04198] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04207] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04216] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04225] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04235] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04244] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04253] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04262] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04271] Single Buffer requirement not met.
