stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\sch_b\source\VS REPOS\myFirstProyect\Debug\allegro5.cfg r
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00000] Also searching C:\Users\sch_b\source\VS REPOS\myFirstProyect\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:763  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.6
dtor     D               dtor.c:196  _al_register_destructor          [   0.00079] added dtor for timer 014F7BA8, func 79DB195B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00135] added dtor for queue 014E4D70, func 79DB16FE
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00260] Also searching C:\Users\sch_b\source\VS REPOS\myFirstProyect\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00507] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00612] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:763  load_library_at_path             [   0.02334] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.07876] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1778 d3d_create_display_locked        [   0.07974] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1779 d3d_create_display_locked        [   0.07991] al_display=01583690
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.08001] al_display->vt=0150E4B0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08494] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.08513] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08527] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08539] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08558] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08570] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08584] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08594] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08604] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08614] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08625] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08634] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08645] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08656] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08667] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08679] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08690] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08707] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08720] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08731] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08743] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08754] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08766] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08777] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08789] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08800] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08812] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08822] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08834] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08845] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08859] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08870] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08882] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08894] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08906] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08917] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08930] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08940] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08951] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08963] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08976] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08989] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09002] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09014] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09027] Single Buffer requirement not met.
